2020-06-26 17:17:02 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Webmozart\Assert\Assert' not found
2020-06-26 17:26:48 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\HelloValidate' not found
2020-06-26 17:27:16 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\HelloValidate' not found
2020-06-26 17:27:52 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'HelloValidate' not found
2020-06-26 17:30:31 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:32:45 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:32:46 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:33:17 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:33:17 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:33:40 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Webmozart\Assert\Assert' not found
2020-06-26 17:43:51 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:45:30 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:46:02 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 17:46:03 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:10:04 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:10:05 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:10:06 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:10:06 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:10:50 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:11:10 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:11:29 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:11:50 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:17 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:17 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:18 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:18 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:19 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:19 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:20 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:20 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:21 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:22 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:22 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:23 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:12:52 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:14:13 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:15:28 | ERROR | 127.0.0.1 | /api/hello/hello | GET | The employee ID must be an integer. Got: string
2020-06-26 18:17:36 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:23:07 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:23:08 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:23:08 | ERROR | 127.0.0.1 | /api/hello/hello | GET | Class 'Validate\Yaf_Loader' not found
2020-06-26 18:23:29 | ERROR | 127.0.0.1 | /api/hello/hello | GET | The employee ID must be an integer. Got: string
